country,indicator,date,value
THA,Inflation,2009-12-31,-0.845716092316721
THA,Inflation,2008-12-31,5.46848949649846
THA,Inflation,2007-12-31,2.24154095286802
THA,Inflation,2006-12-31,4.63747436011764
THA,Inflation,2005-12-31,4.54036919634536
THA,Inflation,2004-12-31,2.75914926231082
THA,Inflation,2003-12-31,1.80434994635718
THA,Inflation,2002-12-31,0.697308976625449
THA,Inflation,2001-12-31,1.62690887314091
THA,Inflation,2000-12-31,1.59196917460972
THA,Interest rate,2025-12-31,3.9425
THA,Interest rate,2024-12-31,4.51416666666667
THA,Interest rate,2023-12-31,4.28583333333333
THA,Interest rate,2022-12-31,3.13833333333333
THA,Interest rate,2021-12-31,3.06
THA,Interest rate,2020-12-31,3.2925
THA,Interest rate,2019-12-31,4.08416666666666
THA,Interest rate,2018-12-31,4.14666666666666
THA,Interest rate,2017-12-31,4.41658283333333
THA,Interest rate,2016-12-31,4.46834552349908
THA,Interest rate,2015-12-31,4.73187498877014
THA,Interest rate,2014-12-31,4.94915214812624
THA,Interest rate,2013-12-31,5.06043360051236
THA,Interest rate,2012-12-31,5.18731410654716
THA,Interest rate,2011-12-31,5.06756761337228
THA,Interest rate,2010-12-31,4.33403991889774
THA,Interest rate,2009-12-31,4.77599754065056
THA,Interest rate,2008-12-31,5.82188819286142
THA,Interest rate,2007-12-31,6.04656836196979
THA,Interest rate,2006-12-31,6.27380728455047
THA,Interest rate,2005-12-31,4.71935005845093
THA,Interest rate,2004-12-31,4.55308715722008
THA,Interest rate,2001-12-31,7.27083333333333
THA,Interest rate,2000-12-31,7.83333333333333
MYS,Inflation,2025-12-31,1.38060872293692
MYS,Inflation,2024-12-31,1.834100204499
MYS,Inflation,2023-12-31,2.48886560125754
MYS,Inflation,2022-12-31,3.37869862549928
MYS,Inflation,2021-12-31,2.47710241465447
MYS,Inflation,2020-12-31,-1.1387021539305
MYS,Inflation,2019-12-31,0.662891865764326
MYS,Inflation,2018-12-31,0.884709160571235
MYS,Inflation,2017-12-31,3.87120115774237
MYS,Inflation,2016-12-31,2.09056659525742
MYS,Inflation,2015-12-31,2.10438980238359
MYS,Inflation,2014-12-31,3.14299050879095
MYS,Inflation,2013-12-31,2.10501231233612
MYS,Inflation,2012-12-31,1.66357102479206
MYS,Inflation,2011-12-31,3.1744709215131
MYS,Inflation,2010-12-31,1.62285235577035
MYS,Inflation,2009-12-31,0.583308405623702
MYS,Inflation,2008-12-31,5.44078221100769
MYS,Inflation,2007-12-31,2.02735317779569
