iso3,indicator,side,rule_id,label_en,label_fr,value
SLB,Unemployment,opportunity,unemp_low,Low unemployment below 5 % (value: 1.4),Chômage faible sous 5 % (valeur : 1.4),1.444
SLB,Youth unemployment,opportunity,youth_unemp_low,Youth unemployment below 12 % (value: 2.9),Chômage des jeunes sous 12 % (valeur : 2.9),2.936
SLE,Control of corruption,risk,corruption_high,Control of corruption below -0.5,"Maîtrise de la corruption inférieure à -0,5",-0.7022841999999999
SLE,Current account,risk,ca_deficit,Current account deficit beyond -5 % of GDP,Déficit courant au-delà de -5 % du PIB,-14.1190349801252
SLE,Debt service,opportunity,debt_service_low,Low debt service at 9.5% of exports: manageable external burden.,Service de la dette faible a 9.5% des exports : charge externe maitrisee.,9.48961863622453
SLE,Inflation,risk,inflation_high,Inflation above 10 %,Inflation supérieure à 10 %,28.6337500014115
SLE,Regulatory quality,risk,regulatory_quality_low,Regulatory quality below -0.5,"Qualité réglementaire inférieure à -0,5",-1.0589263
SLE,Reserves,risk,reserves_low,Reserves below 3 months of imports,Réserves sous 3 mois d'importations,1.75019478536003
SLE,Rule of law,risk,rule_of_law_low,Rule of law below -0.5,"État de droit inférieur à -0,5",-0.8385756
SLE,Unemployment,opportunity,unemp_low,Low unemployment below 5 % (value: 3.1),Chômage faible sous 5 % (valeur : 3.1),3.103
SLE,Youth unemployment,opportunity,youth_unemp_low,Youth unemployment below 12 % (value: 3.5),Chômage des jeunes sous 12 % (valeur : 3.5),3.492
SLV,Control of corruption,risk,corruption_high,Control of corruption below -0.5,"Maîtrise de la corruption inférieure à -0,5",-0.5765882
SLV,Debt service,risk,debt_service_high,Debt service above 25 % of exports,Service de la dette au-dessus de 25 % des exports,96.1985835283834
SLV,External debt,risk,external_debt_high,External debt above 60% of GNI,Dette externe supérieure à 60 % du RNB,75.3936981274716
SLV,Fiscal balance,opportunity,fiscal_surplus,Fiscal surplus of 2.9% of GDP: comfortable policy space.,Excédent budgétaire de 2.9% du PIB : marge de manœuvre confortable.,2.866
SLV,Inflation,opportunity,inflation_low,Inflation contained below 3 % (value: 0.9),Inflation contenue sous 3 % (valeur : 0.9),0.853782292567288
SLV,Reserves,risk,reserves_low,Reserves below 3 months of imports,Réserves sous 3 mois d'importations,2.09691941243475
SLV,Rule of law,risk,rule_of_law_low,Rule of law below -0.5,"État de droit inférieur à -0,5",-0.7133592
SLV,Unemployment,opportunity,unemp_low,Low unemployment below 5 % (value: 3.3),Chômage faible sous 5 % (valeur : 3.3),3.261
SLV,Youth unemployment,opportunity,youth_unemp_low,Youth unemployment below 12 % (value: 7.5),Chômage des jeunes sous 12 % (valeur : 7.5),7.507
SMR,Control of corruption,opportunity,corruption_ctrl_high,Good control of corruption above 0.5 (value: 1.18),"Maîtrise de la corruption solide au-dessus de 0,5 (valeur : 1.18)",1.1762344
SMR,Current account,opportunity,ca_surplus,Current account surplus above 3 % of GDP (value: 22.0),Excédent courant au-dessus de 3 % du PIB (valeur : 22.0),21.9928746171677
SMR,Fiscal balance,opportunity,fiscal_surplus,Fiscal surplus of 1.4% of GDP: comfortable policy space.,Excédent budgétaire de 1.4% du PIB : marge de manœuvre confortable.,1.404
SMR,Inflation,opportunity,inflation_low,Inflation contained below 3 % (value: 1.2),Inflation contenue sous 3 % (valeur : 1.2),1.24216507945569
SMR,Political stability,opportunity,pol_stability_high,Strong political stability above 0.5 (value: 1.37),"Stabilité politique solide au-dessus de 0,5 (valeur : 1.37)",1.3727102
SMR,Regulatory quality,opportunity,regulatory_quality_high,Strong regulatory quality at 0.87: sound policy framework.,Qualité réglementaire solide à 0.87 : cadre politique sain.,0.8653379999999999
SMR,Reserves,risk,reserves_low,Reserves below 3 months of imports,Réserves sous 3 mois d'importations,2.89106960627006
